Material,Description,Procurement,Base Unit,Material Type,Material Group,Matl Grp Desc.
2010117803,POWER CORD KR CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117804,9770 POWER CORD KR CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117805,POWER CORD 9770 KR 230V  LY BLACK CORD,F,EA,ZRAW,201,Cordset
2010117904,POWER CORD CPL US BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010117905,POWER CORD 9770 CPL US  120V  BLACK CORD,F,EA,ZRAW,201,Cordset
2010118003,POWER CORD CPL JP RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010118004,POWER CORD  CPL JP   BLACK CORD,F,EA,ZRAW,201,Cordset
2010122201,POWER CORD ZA RED,F,EA,ZRAW,201,Cordset
2010122202,POWER CORD ZA RED GLOSSY,F,EA,ZRAW,201,Cordset
2010122502,POWER CORD CPL CN RED,F,EA,ZRAW,201,Cordset
2010122503,POWER CORD CPL CN RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010122504,9770 POWER CORD CN CPL LY NEW,F,EA,ZRAW,201,Cordset
2010122505,POWER CORD 9770  CN CPL LY BLACK CORD,F,EA,ZRAW,201,Cordset
2010124501,POWER CORD VDE CPL FERRARI RED,F,EA,ZRAW,201,Cordset
2010124502,POWER CORD VDE CPL FERRARI RED with clip,F,EA,ZRAW,201,Cordset
2010124503,POWER CORD VDE CPL FERRARI RED RE,F,EA,ZRAW,201,Cordset
2010124604,POWER CORD MX CPL BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010124605,POWER CORD 9770  MX 127V CPL BLACK CORD,F,EA,ZRAW,201,Cordset
2010125202,POWER CORD TW 3P RED GLOSSY,F,EA,ZRAW,201,Cordset
2010125203,POWER CORD TW 3P RED GLOSSY CPL 9770,F,EA,ZRAW,201,Cordset
2010125800,EU POWER CORD,F,EA,ZRAW,201,Cordset
2010126200,POWER CORD BRAZIL 3 POLES,F,EA,ZRAW,201,Cordset
2010126202,POWER CORD BRAZIL 3 POLES RED Cable Clip,F,EA,ZRAW,201,Cordset
2010126203,POWER CORD BRAZIL 3 POLES RED&BLACK,F,EA,ZRAW,201,Cordset
2010126204,POWER CORD 9770  BR 3 POLES BLACK CORD,F,EA,ZRAW,201,Cordset
2010129301,POWER CORD BR 3POLE CPL RED Cable Clip,F,EA,ZRAW,201,Cordset
2010129302,POWER CORD BR 3POLE CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010130100,POWER CORD VDE CPL H05VV-F 3C 1.1M RED,F,EA,ZRAW,201,Cordset
2010130203,POWER CORD UK CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010130601,POWER CORD AR CPL FERRARI RED CLIP,F,EA,ZRAW,201,Cordset
2010130602,POWER CORD AR CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010130603,POWER CORD AR CPL BLACK&RED New,F,EA,ZRAW,201,Cordset
2010130801,POWER CORD SG&MS CPL FERRARI red w/clip,F,EA,ZRAW,201,Cordset
2010130802,POWER CORD SG&MS CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010130901,POWER CORD MX CPL RED Cable Clip,F,EA,ZRAW,201,Cordset
2010130902,POWER CORD MX CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010130903,POWER CORD MX CPL BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010131100,POWER CORD CHILE CPL FERRARI red MOULINE,F,EA,ZRAW,201,Cordset
2010131202,POWER CORD KR CPL BLACK&RED,F,EA,ZRAW,201,Cordset
2010131502,POWER CORD CH CPL RED&BLACK REp,F,EA,ZRAW,201,Cordset
2010134800,POWER CORD VDE CPL RED,F,EA,ZRAW,201,Cordset
2010134801,POWER CORD VDE CPL RED with clip,F,EA,ZRAW,201,Cordset
2010134802,POWER CORD VDE CPL GLOSSY RED ACCENT,F,EA,ZRAW,201,Cordset
2010134803,9744R POWER CORD EU COMPACT PLUG LY,F,EA,ZRAW,201,Cordset
2010134901,POWER CORD MX CPL RED Cable Clip,F,EA,ZRAW,201,Cordset
2010134902,9744R POWER CORD MX CPL RED&BLACK,F,EA,ZRAW,201,Cordset
2010135002,POWER CORD JP CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010135400,POWER CORD CPL EU RED,F,EA,ZRAW,201,Cordset
2010135401,POWER CORD CPL EU RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010135800,POWER CORD CPL UK RED For 9744R,F,EA,ZRAW,201,Cordset
2010135801,POWER CORD CPL UK RED with clip,F,EA,ZRAW,201,Cordset
2010135802,POWER CORD CPL UK GLOSSY RED ACCENT,F,EA,ZRAW,201,Cordset
2010135803,9744R POWER CORD UK CPL LY NEW,F,EA,ZRAW,201,Cordset
2010136001,POWER CORD CH CPL RED with clip,F,EA,ZRAW,201,Cordset
2010136002,POWER CORD CH CPL GLOSSY RED ACCENT,F,EA,ZRAW,201,Cordset
2010136003,9744R POWER CORD CH CPL LY NEW,F,EA,ZRAW,201,Cordset
2010136100,POWER CORD UL CPL RED,F,EA,ZRAW,201,Cordset
2010136201,POWER CORD KR CPL RED with clip,F,EA,ZRAW,201,Cordset
2010136202,POWER CORD KR CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010136203,9744R POWER CORD KR CPL LY NEW,F,EA,ZRAW,201,Cordset
