Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
B04ME111,1956441,3011257900,,ZP01,CAPSULE HOLDER MAIN PART RAL9005 BK,M43,"4,400.000","4,400.000",0.000,WF01,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME108,1961739,3011259600,,ZP01,HEAD HSG FRONT PIANO BLACK WIK329,M50,"3,036.000","3,036.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME114,1961357,3011260500,,ZP01,DRIP GRID NCS S 2502-B,M50,"6,000.000","6,000.000",0.000,WF01,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04-MD01,1956375,3011352901,,ZP01,F-CONNECTOR N.C.,M43,"9,000.000",0.000,"9,000.000",WF99,01/21/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
B04ME105,1961113,3011354300,,ZP01,PUMP OUTLET FOR D/U PUMP N.C,M43,"6,600.000","6,600.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME220,1955011,3011404100,,ZP01,HSG BACK V2 BLACK NCS S 9000-N IND.E,M50,"1,400.000","1,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
B04MW238,1961530,3011416400,,ZP01,TANK OUTSIDE TRANSPARENT N.C NAS21,M43,"2,553.000",0.000,"2,553.000",WF01,01/21/2022,01/24/2022,REL  PRC  BCRQ MANC SETC
B04ME108,1963707,3011427000,,ZP01,Drip grid black Shiga,M50,"3,600.000","3,600.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME109,1954743,3011521400,,ZP01,CHASSIS BLACK GRIVORY,M50,"5,400.000","5,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME108,1954929,3011645900,,ZP01,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"6,500.000","6,500.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
B04ME108,1954781,3011646400,,ZP01,ROCKER LEVER BLACK SOLVAY 1150L,M50,"5,800.000","5,800.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04ME108,1941922,3011650000,,ZP01,CLAMP PLATE BLACK 9781 FC1150L,M50,"5,500.000","5,280.000",220.000,WF99,01/21/2022,01/24/2022,REL  PCNF PRC  BCRQ GMPS MACM PDLV SETC
BW04-DC5,1946504,4050047402,,ZP01,NEEDLE PLATE IH WIK BATAM,M50,"3,568.000","3,568.000",0.000,WE98,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-NM5,1955481,7070223700,1300085017,ZP01,9770KRUPS UK230V GREY&BLK(KP123B40)LIGHT,M47,"1,704.000","1,704.000",0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NM3,1955482,7070223900,1300085014,ZP01,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,518.000,518.000,0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NM4,1968345,7070223900,1300085014,ZP01,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,602.000,602.000,0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NM1,1968346,7070223900,1300085014,ZP01,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,"1,640.000","1,640.000",0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NM3,1968343,7070226000,1300084537,ZP01,9770 DL NOR230V BLK&GREY(EDG155.BG)LIGHT,M47,"1,140.000","1,140.000",0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NA1,1955490,7070296300,1300085036,ZP01,9781 KRUPS WE 230V BLACK&ANTH KP1A3B10,M47,"1,782.000","1,782.000",0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NA2,1950663,7070296400,1300084544,ZP01,9781 DL NO 230V WHITE&BLACK EDG110.WB,M47,756.000,756.000,0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-NA3,1969421,7070296400,1300084544,ZP01,9781 DL NO 230V WHITE&BLACK EDG110.WB,M47,842.000,842.000,0.000,WA99,01/21/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-IHL,1970640,8090591504,,ZP01,MASTER CTN LABEL CN EDG155.BG NEW,M47,830.000,0.000,830.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
BW01-IHL,1970637,8090704105,,ZP01,MASTER CTN LABEL EEU KP123B31 BATAM,M47,830.000,830.000,0.000,WA00,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-IHL,1970941,8090704105,,ZP01,MASTER CTN LABEL EEU KP123B31 BATAM,M47,440.000,440.000,0.000,WA00,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-IHL,1970725,8090837400,,ZP01,MASTER CTN LABEL MLNX RED PV1A0558,M47,470.000,0.000,470.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
