Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
,381011942,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381021171,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381031243,3011352901,,LA,F-CONNECTOR N.C.,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381039221,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381036703,3011411101,,LA,NEW RINSING TOOL N.C,M50,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381039622,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381033367,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381021987,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381025000,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,05/30/2023,05/31/2023,
,381025420,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,05/30/2023,05/31/2023,
,381016624,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"4,575.000",0.000,0.000,,05/30/2023,05/31/2023,
,381017058,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,05/30/2023,05/31/2023,
,381001517,7070281700,,VP,9770KRUPS TH 230V ANT&BLK(KP120866)LIGHT,M47,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381002477,7070308900,,VP,9603.15 MELITTA EU COLD GREY,M47,161.000,0.000,0.000,,05/30/2023,05/31/2023,
,381005117,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381006589,9110245600,,LA,ASS'Y WATER TANK,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381007090,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381007396,9110261500,,LA,ASS'Y DRIP TRAY KP1208* ANTHRACITE&BLACK,M50,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381003791,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,05/30/2023,05/30/2023,
,381005546,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,05/30/2023,05/30/2023,
,381011222,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381012423,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381026428,9170447601,,LA,HMI COVER FRONT ANTHRACITE WIK419 NEW L,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381026888,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381034585,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,220.000",0.000,0.000,,05/30/2023,05/31/2023,
,381009113,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381035241,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381037554,3010442800,,LA,VALVE LEVER N.C.,M50,"4,440.000",0.000,0.000,,05/31/2023,06/01/2023,
,381018670,3010907401,,LA,FILTER MINI N.C.,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381028703,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381003358,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381010158,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381019115,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381029111,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381029461,3011229600,,LA,PLUNGER N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381010804,3011229700,,LA,CHASSIS BLACK 9205,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381019545,3011230000,,LA,VALVE TOP V2 N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381029893,3011230100,,LA,BLOCK SHAFT N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381019974,3011230200,,LA,MAGNET HOLDER N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381020394,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381004326,3011257500,,LA,HEAD HSG FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381030399,3011257600,,LA,HMI COVER FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381020805,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381030825,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381011943,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381021172,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381031244,3011352901,,LA,F-CONNECTOR N.C.,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381039222,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381036704,3011411101,,LA,NEW RINSING TOOL N.C,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381039623,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381033368,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381021988,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381025001,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,05/31/2023,06/01/2023,
,381025421,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,05/31/2023,06/01/2023,
,381016625,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"4,572.000",0.000,0.000,,05/31/2023,06/01/2023,
,381017059,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,05/31/2023,06/01/2023,
,381001518,7070281700,,VP,9770KRUPS TH 230V ANT&BLK(KP120866)LIGHT,M47,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381005118,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381006590,9110245600,,LA,ASS'Y WATER TANK,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381007091,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381007397,9110261500,,LA,ASS'Y DRIP TRAY KP1208* ANTHRACITE&BLACK,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381003792,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,05/31/2023,05/31/2023,
,381005547,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,05/31/2023,05/31/2023,
,381011223,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381012424,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381026429,9170447601,,LA,HMI COVER FRONT ANTHRACITE WIK419 NEW L,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381026889,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381034586,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,220.000",0.000,0.000,,05/31/2023,06/01/2023,
,381009114,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381035242,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381037555,3010442800,,LA,VALVE LEVER N.C.,M50,"4,440.000",0.000,0.000,,06/01/2023,06/02/2023,
,381018671,3010907401,,LA,FILTER MINI N.C.,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381028704,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381003359,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381010159,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381019116,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381029112,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381029462,3011229600,,LA,PLUNGER N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381010805,3011229700,,LA,CHASSIS BLACK 9205,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381019546,3011230000,,LA,VALVE TOP V2 N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381029894,3011230100,,LA,BLOCK SHAFT N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381019975,3011230200,,LA,MAGNET HOLDER N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381020395,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381004327,3011257500,,LA,HEAD HSG FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381030400,3011257600,,LA,HMI COVER FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381020806,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381030826,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381011944,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381021173,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381031245,3011352901,,LA,F-CONNECTOR N.C.,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381039223,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381036705,3011411101,,LA,NEW RINSING TOOL N.C,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381039624,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381033369,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381021989,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381025002,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/01/2023,06/02/2023,
,381025422,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/01/2023,06/02/2023,
,381016626,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"4,575.000",0.000,0.000,,06/01/2023,06/02/2023,
,381017060,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/01/2023,06/02/2023,
,381001519,7070281700,,VP,9770KRUPS TH 230V ANT&BLK(KP120866)LIGHT,M47,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381005119,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381006591,9110245600,,LA,ASS'Y WATER TANK,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381007092,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381007398,9110261500,,LA,ASS'Y DRIP TRAY KP1208* ANTHRACITE&BLACK,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381003793,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,06/01/2023,06/01/2023,
,381005548,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,06/01/2023,06/01/2023,
,381011224,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381012425,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381026430,9170447601,,LA,HMI COVER FRONT ANTHRACITE WIK419 NEW L,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381026890,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381034587,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,220.000",0.000,0.000,,06/01/2023,06/02/2023,
,381009115,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381035243,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381037556,3010442800,,LA,VALVE LEVER N.C.,M50,"4,440.000",0.000,0.000,,06/02/2023,06/05/2023,
,381018672,3010907401,,LA,FILTER MINI N.C.,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381028705,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381003360,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381010160,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381019117,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381029113,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381029463,3011229600,,LA,PLUNGER N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381010806,3011229700,,LA,CHASSIS BLACK 9205,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381019547,3011230000,,LA,VALVE TOP V2 N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381029895,3011230100,,LA,BLOCK SHAFT N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381019976,3011230200,,LA,MAGNET HOLDER N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381020396,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381004328,3011257500,,LA,HEAD HSG FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381030401,3011257600,,LA,HMI COVER FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381020807,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381030827,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381011945,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381021174,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381031246,3011352901,,LA,F-CONNECTOR N.C.,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381039224,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381036706,3011411101,,LA,NEW RINSING TOOL N.C,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381039625,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381033370,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381021990,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381025003,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,06/02/2023,06/05/2023,
,381025423,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/02/2023,06/05/2023,
,381016627,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"4,575.000",0.000,0.000,,06/02/2023,06/05/2023,
,381017061,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,06/02/2023,06/05/2023,
,381001520,7070281700,,VP,9770KRUPS TH 230V ANT&BLK(KP120866)LIGHT,M47,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381017876,8090813700,,LA,MASTER CTN LABEL TH KP120866 BLK&ANTH,M47,"5,550.000",0.000,0.000,,06/02/2023,06/05/2023,
,381005120,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381006592,9110245600,,LA,ASS'Y WATER TANK,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381007093,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381007399,9110261500,,LA,ASS'Y DRIP TRAY KP1208* ANTHRACITE&BLACK,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381003794,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,06/02/2023,06/02/2023,
,381005549,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,06/02/2023,06/02/2023,
,381011225,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381012426,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381026431,9170447601,,LA,HMI COVER FRONT ANTHRACITE WIK419 NEW L,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381026891,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381034588,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,220.000",0.000,0.000,,06/02/2023,06/05/2023,
,381009116,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381035244,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381037557,3010442800,,LA,VALVE LEVER N.C.,M50,"4,440.000",0.000,0.000,,06/05/2023,06/06/2023,
,381018673,3010907401,,LA,FILTER MINI N.C.,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381028706,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381003361,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381010161,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381019118,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381029114,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381029464,3011229600,,LA,PLUNGER N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381010807,3011229700,,LA,CHASSIS BLACK 9205,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381019548,3011230000,,LA,VALVE TOP V2 N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381029896,3011230100,,LA,BLOCK SHAFT N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381019977,3011230200,,LA,MAGNET HOLDER N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381020397,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381004329,3011257500,,LA,HEAD HSG FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381030402,3011257600,,LA,HMI COVER FRONT NCS S 7502-B ANTHRACITE,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381020808,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381030828,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381011946,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381021175,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381031247,3011352901,,LA,F-CONNECTOR N.C.,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381039225,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381036707,3011411101,,LA,NEW RINSING TOOL N.C,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381039626,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381033371,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381021991,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381025004,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/05/2023,06/06/2023,
,381025424,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"2,289.000",0.000,0.000,,06/05/2023,06/06/2023,
,381016628,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"4,572.000",0.000,0.000,,06/05/2023,06/06/2023,
,381017062,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,286.000",0.000,0.000,,06/05/2023,06/06/2023,
,381001521,7070281700,,VP,9770KRUPS TH 230V ANT&BLK(KP120866)LIGHT,M47,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381005121,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381006593,9110245600,,LA,ASS'Y WATER TANK,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381007094,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381007400,9110261500,,LA,ASS'Y DRIP TRAY KP1208* ANTHRACITE&BLACK,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381003795,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,06/05/2023,06/05/2023,
,381005550,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,06/05/2023,06/05/2023,
,381011226,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381012427,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381026432,9170447601,,LA,HMI COVER FRONT ANTHRACITE WIK419 NEW L,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381026892,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381034589,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,220.000",0.000,0.000,,06/05/2023,06/06/2023,
,381009117,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"2,220.000",0.000,0.000,,06/06/2023,06/07/2023,
